index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
1013;0.00101823949619;0.156778087422;villages_0_SpatialJoin2.shp;;;;METPALLI;;;TELANGANA;39932;TELANGANA;28;AP;Andhra Pradesh
1014;0.000873504732782;0.149593563163;villages_0_SpatialJoin2.shp;;;;REGUNTA;;;TELANGANA;39933;TELANGANA;28;AP;Andhra Pradesh
1015;0.00190149610531;0.218241428811;villages_0_SpatialJoin2.shp;;;;ARMUR;;;TELANGANA;39934;TELANGANA;28;AP;Andhra Pradesh
1941;8.32903576292e-05;0.0407035522372;villages_0_SpatialJoin2.shp;;;;TARANAGAR;;;TELANGANA;40860;TELANGANA;28;AP;Andhra Pradesh
1942;0.00129192642592;0.258164647047;villages_0_SpatialJoin2.shp;;;;PATANCHERUVU;;;TELANGANA;40861;TELANGANA;28;AP;Andhra Pradesh
1943;0.000201420257797;0.0608168325842;villages_0_SpatialJoin2.shp;;;;SINGAIPALLE;;;TELANGANA;40862;TELANGANA;28;AP;Andhra Pradesh
1944;0.0011102300777;0.165265123238;villages_0_SpatialJoin2.shp;;;;UPPAL;;;TELANGANA;40863;TELANGANA;28;AP;Andhra Pradesh
1945;0.00152156498616;0.168756577185;villages_0_SpatialJoin2.shp;;;;KAPRA;;;TELANGANA;40864;TELANGANA;28;AP;Andhra Pradesh
1946;0.000271010210197;0.0716810298358;villages_0_SpatialJoin2.shp;;;;SERILINGAMPALLI;;;TELANGANA;40865;TELANGANA;28;AP;Andhra Pradesh
1947;0.0017504288869;0.22498684094;villages_0_SpatialJoin2.shp;;;;LOTUGUNTA;;;TELANGANA;40866;TELANGANA;28;AP;Andhra Pradesh
1948;0.0018890613246;0.191490054289;villages_0_SpatialJoin2.shp;;;;MALKAJGIRI;;;TELANGANA;40867;TELANGANA;28;AP;Andhra Pradesh
1949;0.000959650430752;0.150602165139;villages_0_SpatialJoin2.shp;;;;QUTUBULLAPUR;;;TELANGANA;40868;TELANGANA;28;AP;Andhra Pradesh
1950;0.0024898764676;0.304112255072;villages_0_SpatialJoin2.shp;;;;ALAPUR;;;TELANGANA;40869;TELANGANA;28;AP;Andhra Pradesh
1951;0.00304190195668;0.439881959016;villages_0_SpatialJoin2.shp;;;;VINUKONDA;;;ANDHRAPRADESH;40870;ANDHRAPRADESH;28;AP;Andhra Pradesh
1952;0.0323008536067;1.10116741517;villages_0_SpatialJoin2.shp;;;;AMRABAD RESERVED FOREST;;;ANDHRAPRADESH;40871;ANDHRAPRADESH;28;AP;Andhra Pradesh
1953;0.0030941056783;0.364355568976;villages_0_SpatialJoin2.shp;;;;SECUNDERABAD;;;TELANGANA;40872;TELANGANA;28;AP;Andhra Pradesh
