index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
23937;0.000667115137269;0.128480903906;villages_0_SpatialJoin2.shp;;;;SANKRANDH KHADER;;;DELHI;62856;DELHI;7;DL;NCT of Delhi
23938;0.000103415030224;0.0484943876128;villages_0_SpatialJoin2.shp;;;;AHMADNAGAR NAWADA;;;DELHI;62857;DELHI;7;DL;NCT of Delhi
23946;0.000641777181559;0.131093657832;villages_0_SpatialJoin2.shp;;;;BEHTA HAJIPUR;;;DELHI;62865;DELHI;7;DL;NCT of Delhi
23962;0.000118994721102;0.0561571383143;villages_0_SpatialJoin2.shp;;;;FAKARPUR  VIRAN;;;DELHI;62881;DELHI;7;DL;NCT of Delhi
23971;0.000191924034974;0.0615852433169;villages_0_SpatialJoin2.shp;;;;SADULLAHABAD;;;DELHI;62890;DELHI;7;DL;NCT of Delhi
23972;0.000304553691848;0.0727715274058;villages_0_SpatialJoin2.shp;;;;DHEROTI KHURD;;;DELHI;62891;DELHI;7;DL;NCT of Delhi
23981;0.000171694686092;0.0552859241164;villages_0_SpatialJoin2.shp;;;;MAHARAJPUR;;;DELHI;62900;DELHI;7;DL;NCT of Delhi
23983;0.000145349356646;0.0526133019228;villages_0_SpatialJoin2.shp;;;;MILAK CHAMARAN;;;DELHI;62902;DELHI;7;DL;NCT of Delhi
23991;0.00113322019639;0.153380225672;villages_0_SpatialJoin2.shp;;;;M A K A N P U R;;;DELHI;62910;DELHI;7;DL;NCT of Delhi
24021;0.000477077964568;0.11317093678;villages_0_SpatialJoin2.shp;;;;CHORA SADATPUR;;;DELHI;62940;DELHI;7;DL;NCT of Delhi
24045;0.00020204002123;0.0824699395932;villages_0_SpatialJoin2.shp;;;;KADKA MANDAL;;;DELHI;62964;DELHI;7;DL;NCT of Delhi
24053;0.000178509194202;0.0883955613176;villages_0_SpatialJoin2.shp;;;;ASGHARPUR JAGIR;;;DELHI;62972;DELHI;7;DL;NCT of Delhi
24059;0.00030530391529;0.0705498229238;villages_0_SpatialJoin2.shp;;;;BHAUNAPUR;;;DELHI;62978;DELHI;7;DL;NCT of Delhi
24061;0.000124385298636;0.0489645690749;villages_0_SpatialJoin2.shp;;;;CHIKAMBARPUR;;;DELHI;62980;DELHI;7;DL;NCT of Delhi
24062;0.00021608501833;0.0582833891529;villages_0_SpatialJoin2.shp;;;;BHOPURA;;;DELHI;62981;DELHI;7;DL;NCT of Delhi
24067;0.000726073002075;0.184348881429;villages_0_SpatialJoin2.shp;;;;M A H R A J P U R;;;DELHI;62986;DELHI;7;DL;NCT of Delhi
24086;0.000114596130588;0.0491784533;villages_0_SpatialJoin2.shp;;;;RAGHUNATHPUR;;;DELHI;63005;DELHI;7;DL;NCT of Delhi
24087;0.000346831592121;0.0881680641334;villages_0_SpatialJoin2.shp;;;;HAROLA MAKANPUR;;;DELHI;63006;DELHI;7;DL;NCT of Delhi
24126;0.000124650579042;0.0511720812586;villages_0_SpatialJoin2.shp;;;;NAYABAS;;;DELHI;63045;DELHI;7;DL;NCT of Delhi
24130;0.00029204110967;0.06964514663;villages_0_SpatialJoin2.shp;;;;NAYABAS;;;DELHI;63049;DELHI;7;DL;NCT of Delhi
24144;0.000493562959124;0.09207189694;villages_0_SpatialJoin2.shp;;;;DUNDAHERI;;;DELHI;63063;DELHI;7;DL;NCT of Delhi
24160;0.000472767688106;0.100235738191;villages_0_SpatialJoin2.shp;;;;KARPATPURI;;;DELHI;63079;DELHI;7;DL;NCT of Delhi
24161;0.000686984691527;0.138925508599;villages_0_SpatialJoin2.shp;;;;C H A U M U H A;;;DELHI;63080;DELHI;7;DL;NCT of Delhi
24170;0.000698281670316;0.149509260841;villages_0_SpatialJoin2.shp;;;;DAULATABAD;;;DELHI;63089;DELHI;7;DL;NCT of Delhi
24172;0.000564373363724;0.0970742772711;villages_0_SpatialJoin2.shp;;;;NATHUPUR;;;DELHI;63091;DELHI;7;DL;NCT of Delhi
24175;0.00121945881722;0.168742140725;villages_0_SpatialJoin2.shp;;;;WAZIRABAD;;;DELHI;63094;DELHI;7;DL;NCT of Delhi
24177;0.000496418266197;0.100754849349;villages_0_SpatialJoin2.shp;;;;CHAKARPUR;;;DELHI;63096;DELHI;7;DL;NCT of Delhi
24178;0.000250106603469;0.0763902964488;villages_0_SpatialJoin2.shp;;;;SIKANDARPUR GHOSI;;;DELHI;63097;DELHI;7;DL;NCT of Delhi
