index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
27990;1.41700706414e-05;0.0180004356096;villages_0_SpatialJoin2.shp;;;;TALGAON;;;GOA;66909;GOA;30;GA;Goa
27991;0.000544199703593;0.143005962927;villages_0_SpatialJoin2.shp;;;;DURGAVADO;;;GOA;66910;GOA;30;GA;Goa
27992;0.00205788517684;0.338411441716;villages_0_SpatialJoin2.shp;;;;MARMAGAO SOUTH;;;GOA;66911;GOA;30;GA;Goa
27993;0.00102548778065;0.175112976507;villages_0_SpatialJoin2.shp;;;;GONVAL;;;GOA;66912;GOA;30;GA;Goa
27994;0.000713398395469;0.154079629996;villages_0_SpatialJoin2.shp;;;;DIYANV;;;GOA;66913;GOA;30;GA;Goa
27995;0.000106147079679;0.0564963620059;villages_0_SpatialJoin2.shp;;;;PANAS;;;GOA;66914;GOA;30;GA;Goa
27996;0.00148084711817;0.267626394791;villages_0_SpatialJoin2.shp;;;;CHAURI;;;GOA;66915;GOA;30;GA;Goa
27997;0.000699630326047;0.110593144955;villages_0_SpatialJoin2.shp;;;;TALEWADA;;;GOA;66916;GOA;30;GA;Goa
27998;9.32690992099e-05;0.0410032272405;villages_0_SpatialJoin2.shp;;;;KUSMANA;;;GOA;66917;GOA;30;GA;Goa
27999;0.000127015231901;0.0691185806927;villages_0_SpatialJoin2.shp;;;;AMONA;;;GOA;66918;GOA;30;GA;Goa
28000;3.17696172133e-05;0.0261620140211;villages_0_SpatialJoin2.shp;;;;MARMAGOO;;;GOA;66919;GOA;30;GA;Goa
28001;0.000147179088235;0.0643104006961;villages_0_SpatialJoin2.shp;;;;MUGAL;;;GOA;66920;GOA;30;GA;Goa
28002;0.00023465804128;0.0778832238336;villages_0_SpatialJoin2.shp;;;;MUNGUL;;;GOA;66921;GOA;30;GA;Goa
28003;0.000601967597387;0.113857441507;villages_0_SpatialJoin2.shp;;;;BOMA;;;GOA;66922;GOA;30;GA;Goa
28004;0.000408322191891;0.0833732164054;villages_0_SpatialJoin2.shp;;;;TAMSHERI;;;GOA;66923;GOA;30;GA;Goa
28005;0.00204305245449;0.331481662808;villages_0_SpatialJoin2.shp;;;;MARMAGAON NORTH;;;GOA;66924;GOA;30;GA;Goa
28347;0.00302219595435;0.253653381751;villages_0_SpatialJoin2.shp;;;;KELOLI;;;GOA;67266;GOA;30;GA;Goa
28352;0.00110116334344;0.156158535506;villages_0_SpatialJoin2.shp;;;;ATLI;;;GOA;67271;GOA;30;GA;Goa
45770;0.000538495540615;0.176084749116;villages_0_SpatialJoin2.shp;;;;AGUADA;;;GOA;84689;GOA;30;GA;Goa
45771;0.00022994172237;0.0615089293576;villages_0_SpatialJoin2.shp;;;;NANUZ;;;GOA;84690;GOA;30;GA;Goa
45772;0.00039705415542;0.0785732100257;villages_0_SpatialJoin2.shp;;;;MASSORDE;;;GOA;84691;GOA;30;GA;Goa
45773;0.000213177384282;0.0768078854931;villages_0_SpatialJoin2.shp;;;;RAYBANDAR;;;GOA;84692;GOA;30;GA;Goa
45774;0.00152665441559;0.191534275914;villages_0_SpatialJoin2.shp;;;;PENRAL;;;GOA;84693;GOA;30;GA;Goa
45775;0.000260056360919;0.0922850525566;villages_0_SpatialJoin2.shp;;;;VIRDI;;;GOA;84694;GOA;30;GA;Goa
45776;0.000612269330671;0.112637887841;villages_0_SpatialJoin2.shp;;;;HARVALE;;;GOA;84695;GOA;30;GA;Goa
45777;0.000662027988194;0.145022111374;villages_0_SpatialJoin2.shp;;;;FOREST;;;GOA;84696;GOA;30;GA;Goa
45778;0.000381186305597;0.0845807230426;villages_0_SpatialJoin2.shp;;;;VELUZ;;;GOA;84697;GOA;30;GA;Goa
0;0.00121096617467;0.181345588601;villages_30.shp;585;Gangem;05614;GOTIAKHADILWADA;30;626852;;335273;villages_30.shp;30;GA;Goa
1;0.000173645663356;0.0676969840203;villages_30.shp;585;Murda (CT);05611;KUJRA VELEM BHAT;30;626731;;335274;villages_30.shp;30;GA;Goa
2;0.000141761066401;0.049364798234;villages_30.shp;585;Padeli;05613;BHOMWADI;30;626829;;335275;villages_30.shp;30;GA;Goa
3;8.96888755072e-06;0.015140221494;villages_30.shp;585;Murda (CT);05611;MERSI;30;626731;;335276;villages_30.shp;30;GA;Goa
4;9.50018378612e-05;0.0527042600242;villages_30.shp;586;Duncolim;05616;DHUNKALI;30;626900;;335277;villages_30.shp;30;GA;Goa
5;0.000375808990573;0.137638932739;villages_30.shp;586;Majorda;05616;MAJORDA;30;626892;;335278;villages_30.shp;30;GA;Goa
6;0.000930578805259;0.184261471535;villages_30.shp;586;Nuvem (CT);05616;NUVE;30;626924;;335279;villages_30.shp;30;GA;Goa
7;0.00298335786787;0.411959152648;villages_30.shp;586;Calem;05618;COLEM;30;626988;;335280;villages_30.shp;30;GA;Goa
8;0.00129608899275;0.224745490898;villages_30.shp;586;Santona;05618;SANTONA;30;626987;;335281;villages_30.shp;30;GA;Goa
9;0.000310918015933;0.0901007243718;villages_30.shp;586;Camurlim;05616;KAMARLIM;30;626890;;335282;villages_30.shp;30;GA;Goa
10;0.000258573531471;0.0895166760797;villages_30.shp;586;Utorda;05616;UTARDA;30;626893;;335283;villages_30.shp;30;GA;Goa
11;0.00188275626035;0.187172377179;villages_30.shp;586;Sigao;05618;SHIGAON;30;626978;;335284;villages_30.shp;30;GA;Goa
12;0.000296413558003;0.0823633538393;villages_30.shp;586;Arossim;05615;AROSIM;30;626884;;335285;villages_30.shp;30;GA;Goa
