index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
30897;0.00270652793967;0.529982381196;villages_0_SpatialJoin2.shp;;;;R E S E R V E D  F O R E S T;;;GUJARAT;69816;GUJARAT;24;GJ;Gujarat
30898;0.000441970905738;0.0994862546514;villages_0_SpatialJoin2.shp;;;;KATHAR;;;GUJARAT;69817;GUJARAT;24;GJ;Gujarat
30935;3.42290862993e-05;0.0402736682519;villages_0_SpatialJoin2.shp;;;;DISPUTED;;;GUJARAT;69854;GUJARAT;24;GJ;Gujarat
30950;0.0011106507019;0.246130624763;villages_0_SpatialJoin2.shp;;;;BOKADIYA;;;GUJARAT;69869;GUJARAT;24;GJ;Gujarat
30966;0.000371270785043;0.163357164132;villages_0_SpatialJoin2.shp;;;;DISPUTED;;;GUJARAT;69885;GUJARAT;24;GJ;Gujarat
31250;0.000310844418425;0.0848794914991;villages_0_SpatialJoin2.shp;;;;CHAPRI;;;GUJARAT;70169;GUJARAT;24;GJ;Gujarat
31285;0.000413273284411;0.168683165783;villages_0_SpatialJoin2.shp;;;;R F;;;GUJARAT;70204;GUJARAT;24;GJ;Gujarat
31299;0.000237052778871;0.0949243629568;villages_0_SpatialJoin2.shp;;;;R F;;;GUJARAT;70218;GUJARAT;24;GJ;Gujarat
31467;0.000119352171349;0.0504216926656;villages_0_SpatialJoin2.shp;;;;GORIYA;;;GUJARAT;70386;GUJARAT;24;GJ;Gujarat
31498;0.000277873155805;0.21872959344;villages_0_SpatialJoin2.shp;;;;SHISHOT;;;GUJARAT;70417;GUJARAT;24;GJ;Gujarat
31563;0.000769514275286;0.13430455193;villages_0_SpatialJoin2.shp;;;;FOREST;;;GUJARAT;70482;GUJARAT;24;GJ;Gujarat
31564;9.46248266298e-05;0.0446972773241;villages_0_SpatialJoin2.shp;;;;DISPUTED;;;GUJARAT;70483;GUJARAT;24;GJ;Gujarat
31571;1.08725795634e-08;0.00217867718898;villages_0_SpatialJoin2.shp;;;;DISPUTED;;;GUJARAT;70490;GUJARAT;24;GJ;Gujarat
