index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
35060;0.000180455404469;0.0745053165269;villages_0_SpatialJoin2.shp;;;;R F;;;HIMACHALPRADESH;73979;HIMACHALPRADESH;2;HP;Himachal Pradesh
35734;0.000859574316343;0.267849702687;villages_0_SpatialJoin2.shp;;;;KALSI RESERVED FOREST;;;HIMACHALPRADESH;74653;HIMACHALPRADESH;2;HP;Himachal Pradesh
36769;5.89283684492e-05;0.0318704235361;villages_0_SpatialJoin2.shp;;;;THARTA;;;HIMACHALPRADESH;75688;HIMACHALPRADESH;2;HP;Himachal Pradesh
36806;0.000223067992407;0.061458857105;villages_0_SpatialJoin2.shp;;;;MANWAN;;;HIMACHALPRADESH;75725;HIMACHALPRADESH;2;HP;Himachal Pradesh
36904;4.08987085867e-05;0.0282602514269;villages_0_SpatialJoin2.shp;;;;R F;;;HIMACHALPRADESH;75823;HIMACHALPRADESH;2;HP;Himachal Pradesh
37003;6.72697134863e-05;0.0436552561086;villages_0_SpatialJoin2.shp;;;;BURAILA;;;HIMACHALPRADESH;75922;HIMACHALPRADESH;2;HP;Himachal Pradesh
37015;0.000450745625362;0.128083109531;villages_0_SpatialJoin2.shp;;;;KAWA KHERA;;;HIMACHALPRADESH;75934;HIMACHALPRADESH;2;HP;Himachal Pradesh
37019;0.00021788487231;0.0625771925799;villages_0_SpatialJoin2.shp;;;;FEDIZ;;;HIMACHALPRADESH;75938;HIMACHALPRADESH;2;HP;Himachal Pradesh
37092;0.000341688079446;0.0951298336509;villages_0_SpatialJoin2.shp;;;;WEST YAMUNA RF;;;HIMACHALPRADESH;76011;HIMACHALPRADESH;2;HP;Himachal Pradesh
37098;0.000294701978879;0.0792926832306;villages_0_SpatialJoin2.shp;;;;BHIMAWALA;;;HIMACHALPRADESH;76017;HIMACHALPRADESH;2;HP;Himachal Pradesh
37100;0.000160145520408;0.0573631684871;villages_0_SpatialJoin2.shp;;;;BABUGARH;;;HIMACHALPRADESH;76019;HIMACHALPRADESH;2;HP;Himachal Pradesh
37104;0.00054755396898;0.172290490907;villages_0_SpatialJoin2.shp;;;;NAWABGARH;;;HIMACHALPRADESH;76023;HIMACHALPRADESH;2;HP;Himachal Pradesh
37105;6.63581346894e-05;0.0443736442501;villages_0_SpatialJoin2.shp;;;;DAKPATTHAR;;;HIMACHALPRADESH;76024;HIMACHALPRADESH;2;HP;Himachal Pradesh
37140;8.09323684834e-05;0.0537525052174;villages_0_SpatialJoin2.shp;;;;R F;;;HIMACHALPRADESH;76059;HIMACHALPRADESH;2;HP;Himachal Pradesh
37142;0.000563038388516;0.228681048011;villages_0_SpatialJoin2.shp;;;;DEOGHAR RF;;;HIMACHALPRADESH;76061;HIMACHALPRADESH;2;HP;Himachal Pradesh
