index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
22679;0.000356328740657;0.0974706256578;villages_0_SpatialJoin2.shp;;;;REWARI;;;HARYANA;61598;HARYANA;6;HR;Haryana
22762;4.45480436739e-05;0.0273074159195;villages_0_SpatialJoin2.shp;;;;SHAHJADPUR;;;HARYANA;61681;HARYANA;6;HR;Haryana
22937;0.000124709013363;0.0593185648821;villages_0_SpatialJoin2.shp;;;;KANKAR KHORI;;;HARYANA;61856;HARYANA;6;HR;Haryana
23936;9.13292234155e-05;0.042444922154;villages_0_SpatialJoin2.shp;;;;KHANDWARI KHADER;;;HARYANA;62855;HARYANA;6;HR;Haryana
23945;6.07501734563e-05;0.0393155254448;villages_0_SpatialJoin2.shp;;;;BAHRAMPUR;;;HARYANA;62864;HARYANA;6;HR;Haryana
23954;0.000188675051527;0.0584030221681;villages_0_SpatialJoin2.shp;;;;SISANA KHADER;;;HARYANA;62873;HARYANA;6;HR;Haryana
23963;0.000301079416434;0.0848079724073;villages_0_SpatialJoin2.shp;;;;MAWI KALAN KHADER;;;HARYANA;62882;HARYANA;6;HR;Haryana
24115;0.000205630940609;0.0698046865319;villages_0_SpatialJoin2.shp;;;;PALAKHA;;;HARYANA;63034;HARYANA;6;HR;Haryana
24116;6.24482058576e-05;0.0621109998225;villages_0_SpatialJoin2.shp;;;;AMARPUR PALAKHA;;;HARYANA;63035;HARYANA;6;HR;Haryana
24117;0.000230569251452;0.111709825605;villages_0_SpatialJoin2.shp;;;;LULGARHI;;;HARYANA;63036;HARYANA;6;HR;Haryana
24120;0.000165542311339;0.0560329099115;villages_0_SpatialJoin2.shp;;;;RAMPUR KHADAR;;;HARYANA;63039;HARYANA;6;HR;Haryana
24145;0.000122218482198;0.0479481863148;villages_0_SpatialJoin2.shp;;;;ALAWARDI SARAI;;;HARYANA;63064;HARYANA;6;HR;Haryana
24146;0.000420972981756;0.0828597973539;villages_0_SpatialJoin2.shp;;;;SIHI;;;HARYANA;63065;HARYANA;6;HR;Haryana
24147;0.000348191531721;0.0896619322709;villages_0_SpatialJoin2.shp;;;;SUSHANTLOK;;;HARYANA;63066;HARYANA;6;HR;Haryana
24148;0.000313107747976;0.119759657463;villages_0_SpatialJoin2.shp;;;;KADIPUR;;;HARYANA;63067;HARYANA;6;HR;Haryana
24149;0.000336707290253;0.074633026413;villages_0_SpatialJoin2.shp;;;;KANHAI;;;HARYANA;63068;HARYANA;6;HR;Haryana
24150;0.000391955340697;0.0779460592949;villages_0_SpatialJoin2.shp;;;;FAZILPUR JHARSA;;;HARYANA;63069;HARYANA;6;HR;Haryana
24151;0.000696430216172;0.153519777129;villages_0_SpatialJoin2.shp;;;;BAHRAMPUR;;;HARYANA;63070;HARYANA;6;HR;Haryana
24152;0.000877484700419;0.143953000606;villages_0_SpatialJoin2.shp;;;;KHERI SAMPLA;;;HARYANA;63071;HARYANA;6;HR;Haryana
24153;0.000182302541553;0.0570480957751;villages_0_SpatialJoin2.shp;;;;ISLAMPUR;;;HARYANA;63072;HARYANA;6;HR;Haryana
24154;0.000217199394243;0.08295043895;villages_0_SpatialJoin2.shp;;;;HAIDERPUR;;;HARYANA;63073;HARYANA;6;HR;Haryana
24155;6.17181859391e-05;0.0329311551549;villages_0_SpatialJoin2.shp;;;;BINDAPUR;;;HARYANA;63074;HARYANA;6;HR;Haryana
24156;0.000398631145534;0.0806225087982;villages_0_SpatialJoin2.shp;;;;BEGAMPUR KHATAULA;;;HARYANA;63075;HARYANA;6;HR;Haryana
24157;0.000256385668865;0.0733760974328;villages_0_SpatialJoin2.shp;;;;TIGRA;;;HARYANA;63076;HARYANA;6;HR;Haryana
24158;0.000612617639566;0.134011500532;villages_0_SpatialJoin2.shp;;;;ASHOK VIHAR;;;HARYANA;63077;HARYANA;6;HR;Haryana
24159;0.000194521230275;0.0562212028037;villages_0_SpatialJoin2.shp;;;;JAHAJNAGAR;;;HARYANA;63078;HARYANA;6;HR;Haryana
24162;0.000177353953977;0.0676563193148;villages_0_SpatialJoin2.shp;;;;NARSINGPUR;;;HARYANA;63081;HARYANA;6;HR;Haryana
24163;0.00011801056979;0.0563060103326;villages_0_SpatialJoin2.shp;;;;FATEHPUR;;;HARYANA;63082;HARYANA;6;HR;Haryana
24164;0.000227238370129;0.0667863577716;villages_0_SpatialJoin2.shp;;;;TIKRI;;;HARYANA;63083;HARYANA;6;HR;Haryana
24165;0.000271942713633;0.0741575171375;villages_0_SpatialJoin2.shp;;;;MUHAMMADPUR JHARSA;;;HARYANA;63084;HARYANA;6;HR;Haryana
24166;0.000215794692075;0.0596807448079;villages_0_SpatialJoin2.shp;;;;GARAULI KHURD;;;HARYANA;63085;HARYANA;6;HR;Haryana
24167;0.000200675181916;0.0573191020306;villages_0_SpatialJoin2.shp;;;;GARAULI KALAN;;;HARYANA;63086;HARYANA;6;HR;Haryana
24168;0.00051755188543;0.133570773188;villages_0_SpatialJoin2.shp;;;;GHATA KANAGARPUR;;;HARYANA;63087;HARYANA;6;HR;Haryana
24169;9.65645554914e-05;0.0440688331396;villages_0_SpatialJoin2.shp;;;;BAHRAMPUR;;;HARYANA;63088;HARYANA;6;HR;Haryana
24171;0.000952510879934;0.217527228462;villages_0_SpatialJoin2.shp;;;;REWARI;;;HARYANA;63090;HARYANA;6;HR;Haryana
24173;0.000147150495287;0.046872857619;villages_0_SpatialJoin2.shp;;;;SHAMASHPUR;;;HARYANA;63092;HARYANA;6;HR;Haryana
24174;0.000565943562243;0.105411768489;villages_0_SpatialJoin2.shp;;;;KHANDSA;;;HARYANA;63093;HARYANA;6;HR;Haryana
