index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
38506;0.000392495675224;0.115910429315;villages_0_SpatialJoin2.shp;;;;ARELI;;;JAMMUKASHMIR;77425;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38516;0.000196001896009;0.0832859716983;villages_0_SpatialJoin2.shp;;;;TIKA LADWALA;;;JAMMUKASHMIR;77435;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38597;0.000142983236218;0.0541425564413;villages_0_SpatialJoin2.shp;;;;TIKA KATAL;;;JAMMUKASHMIR;77516;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38606;6.4501870406e-05;0.0380975952024;villages_0_SpatialJoin2.shp;;;;MADHOPUR;;;JAMMUKASHMIR;77525;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38611;0.000261344409608;0.0873110097874;villages_0_SpatialJoin2.shp;;;;TIKA GODWANN;;;JAMMUKASHMIR;77530;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38616;0.000170401409851;0.0689474139257;villages_0_SpatialJoin2.shp;;;;TIKA MAIRA;;;JAMMUKASHMIR;77535;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38654;0.000511060847934;0.149296063781;villages_0_SpatialJoin2.shp;;;;DHAR DALAR;;;JAMMUKASHMIR;77573;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38664;0.000194302092778;0.0805828213804;villages_0_SpatialJoin2.shp;;;;DUNG;;;JAMMUKASHMIR;77583;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38669;0.000209621555362;0.0918834817592;villages_0_SpatialJoin2.shp;;;;TIKA GULIAL;;;JAMMUKASHMIR;77588;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38670;8.63304386644e-05;0.0457133977396;villages_0_SpatialJoin2.shp;;;;BHANGLA  HKHAS;;;JAMMUKASHMIR;77589;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38671;8.5282028181e-05;0.0532067786014;villages_0_SpatialJoin2.shp;;;;TIKA PATTA;;;JAMMUKASHMIR;77590;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38679;0.000263672450484;0.0715519397812;villages_0_SpatialJoin2.shp;;;;TIKA BHATI;;;JAMMUKASHMIR;77598;JAMMUKASHMIR;1;JK;Jammu & Kashmir
38684;6.88543879622e-05;0.0393154141098;villages_0_SpatialJoin2.shp;;;;TIKA LANOH;;;JAMMUKASHMIR;77603;JAMMUKASHMIR;1;JK;Jammu & Kashmir
0;0.000392495675224;0.115910429315;missing_name_JAMMUKASHMIR.shp;;;;ARELI;;;JAMMUKASHMIR;335260;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
1;0.000196001896009;0.0832859716983;missing_name_JAMMUKASHMIR.shp;;;;TIKA LADWALA;;;JAMMUKASHMIR;335261;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
2;0.000142983236218;0.0541425564413;missing_name_JAMMUKASHMIR.shp;;;;TIKA KATAL;;;JAMMUKASHMIR;335262;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
3;6.4501870406e-05;0.0380975952024;missing_name_JAMMUKASHMIR.shp;;;;MADHOPUR;;;JAMMUKASHMIR;335263;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
4;0.000261344409608;0.0873110097874;missing_name_JAMMUKASHMIR.shp;;;;TIKA GODWANN;;;JAMMUKASHMIR;335264;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
5;0.000170401409851;0.0689474139257;missing_name_JAMMUKASHMIR.shp;;;;TIKA MAIRA;;;JAMMUKASHMIR;335265;missing_name_JAMMUKASHMIR.shp;1;JK;Jammu & Kashmir
