index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
30777;5.02517908522e-07;0.00263525009061;villages_0_SpatialJoin2.shp;;;;(KODITALA ISLET);;;LAKSHADWEEP;69696;LAKSHADWEEP;31;LD;Lakshadweep
0;1.31390728091e-07;0.00133193125953;villages_31.shp;587;Minicoy (CT);05629;RAGGAN ISLET (MINICOY ISLAND);31;627056;;449008;villages_31.shp;31;LD;Lakshadweep
1;6.59760807233e-07;0.00330093431942;villages_31.shp;587;Tilakkam (I);05628;KALPENI;31;627049;;449009;villages_31.shp;31;LD;Lakshadweep
2;7.19690991836e-07;0.00326845179329;villages_31.shp;587;Tilakkam (II);05628;TILAKKAM ISLET;31;627050;;449010;villages_31.shp;31;LD;Lakshadweep
3;8.85557715004e-07;0.00351155889499;villages_31.shp;587;Pitti (II);05628;KALPENI ISLAND;31;627053;;449011;villages_31.shp;31;LD;Lakshadweep
4;3.74627068183e-07;0.00241158706076;villages_31.shp;587;Tilakkam (III);05628;TILAKKAM ISLETS;31;627051;;449012;villages_31.shp;31;LD;Lakshadweep
5;3.18002708694e-06;0.00826836858082;villages_31.shp;587;Pitti (I);05628;PITTI ISLET;31;627052;;449013;villages_31.shp;31;LD;Lakshadweep
6;0.000195258765368;0.106084762253;villages_31.shp;587;Kalpeni (CT);05628;KALPENI ISLAND;31;627054;;449014;villages_31.shp;31;LD;Lakshadweep
7;2.44717270618e-05;0.0297796105447;villages_31.shp;587;Suheli Cheriyakara;05625;CHERIYAKARA ISLET (SUHELI PAR);31;627037;;449015;villages_31.shp;31;LD;Lakshadweep
8;4.03197964284e-05;0.0605015093901;villages_31.shp;587;Cheriyam;05628;KALPENI;31;627047;;449016;villages_31.shp;31;LD;Lakshadweep
9;5.23467828163e-06;0.016162341098;villages_31.shp;587;Pitti (Birds' Island);05625;PITTI ISLET (SUHELI PAR);31;627035;;449017;villages_31.shp;31;LD;Lakshadweep
10;2.70391447635e-05;0.0290852103567;villages_31.shp;587;Suheli Valiyakara;05625;VALIYAKARA ISLET (SUHELI PAR);31;627036;;449018;villages_31.shp;31;LD;Lakshadweep
11;6.80596472348e-06;0.0118838959243;villages_31.shp;587;Kalpitti;05626;KALPITTI ISLET  (AGATTI ISLAND;31;627045;;449019;villages_31.shp;31;LD;Lakshadweep
12;3.6947262557e-05;0.0314717622142;villages_31.shp;587;Tinnakara;05626;TINNAKARA ISLET (BANGARAM ISLA;31;627039;;449020;villages_31.shp;31;LD;Lakshadweep
13;3.07185435556e-06;0.00851979693516;villages_31.shp;587;Parali (I);05626;PARALI I ISLET;31;627040;;449021;villages_31.shp;31;LD;Lakshadweep
14;2.22572650461e-06;0.00723253285349;villages_31.shp;587;Parali (II);05626;PARALI I I ISLET;31;627041;;449022;villages_31.shp;31;LD;Lakshadweep
15;2.86881424512e-06;0.00756420055298;villages_31.shp;587;Parali (III);05626;PARALI I I I ISLET (BANGARAM I;31;627042;;449023;villages_31.shp;31;LD;Lakshadweep
16;8.87625171e-05;0.0533849983196;villages_31.shp;587;Chetlat;05622;CHETLAT ISLAND;31;627032;;449024;villages_31.shp;31;LD;Lakshadweep
17;0.000384864230908;0.207720483878;villages_31.shp;587;Minicoy (CT);05629;MINICOY ISLAND;31;627056;;449025;villages_31.shp;31;LD;Lakshadweep
18;0.000314785900962;0.109576880572;villages_31.shp;587;Kavaratti (CT);05625;KAVARATTI  ISLAND;31;627038;;449026;villages_31.shp;31;LD;Lakshadweep
19;0.00040939170441;0.0969226198515;villages_31.shp;587;Andrott (CT);05627;ANDROTH ISLAND;31;627046;;449027;villages_31.shp;31;LD;Lakshadweep
20;0.000235551588347;0.145719051034;villages_31.shp;587;Agatti;05626;AGATTI ISLAND;31;627044;;449028;villages_31.shp;31;LD;Lakshadweep
21;5.24893506107e-05;0.0387627008199;villages_31.shp;587;Bangaram;05626;BANGARAM ISLAND;31;627043;;449029;villages_31.shp;31;LD;Lakshadweep
22;0.000220044452626;0.0619057825811;villages_31.shp;587;Amini (CT);05620;AMINI  ISLAND;31;627030;;449030;villages_31.shp;31;LD;Lakshadweep
23;0.000263142020846;0.168532214303;villages_31.shp;587;Kadmat (CT);05624;KADMAT ISLAND;31;627034;;449031;villages_31.shp;31;LD;Lakshadweep
24;0.000138359836481;0.0700081974072;villages_31.shp;587;Kiltan;05623;KILTAN  ISLAND;31;627033;;449032;villages_31.shp;31;LD;Lakshadweep
25;1.02213218761e-05;0.0138541310841;villages_31.shp;587;Bitra;05621;CHETLAT;31;627031;;449033;villages_31.shp;31;LD;Lakshadweep
0;5.02517908522e-07;0.00263525009061;missing_name_LAKSHADWEEP.shp;;;;(KODITALA ISLET);;;LAKSHADWEEP;616728;missing_name_LAKSHADWEEP.shp;31;LD;Lakshadweep
