index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
10422;0.000283578588166;0.0871385283498;villages_0_SpatialJoin2.shp;;;;FOREST RANGIT;;;SIKKIM;49341;SIKKIM;11;SK;Sikkim
10460;0.00216016298729;0.228715169366;villages_0_SpatialJoin2.shp;;;;RECHIELA FOREST;;;SIKKIM;49379;SIKKIM;11;SK;Sikkim
10461;0.00142880112248;0.185892042502;villages_0_SpatialJoin2.shp;;;;SANGSER FOREST;;;SIKKIM;49380;SIKKIM;11;SK;Sikkim
10462;0.00165987404097;0.195936386588;villages_0_SpatialJoin2.shp;;;;RUKA FOREST;;;SIKKIM;49381;SIKKIM;11;SK;Sikkim
10463;0.000862831255499;0.128040260366;villages_0_SpatialJoin2.shp;;;;RHENOK FOREST;;;SIKKIM;49382;SIKKIM;11;SK;Sikkim
0;0.000283578588166;0.0871385283498;missing_name_SIKKIM.shp;;;;FOREST RANGIT;;;SIKKIM;178280;missing_name_SIKKIM.shp;11;SK;Sikkim
1;0.00216016298729;0.228715169366;missing_name_SIKKIM.shp;;;;RECHIELA FOREST;;;SIKKIM;178281;missing_name_SIKKIM.shp;11;SK;Sikkim
2;0.00142880112248;0.185892042502;missing_name_SIKKIM.shp;;;;SANGSER FOREST;;;SIKKIM;178282;missing_name_SIKKIM.shp;11;SK;Sikkim
3;0.00165987404097;0.195936386588;missing_name_SIKKIM.shp;;;;RUKA FOREST;;;SIKKIM;178283;missing_name_SIKKIM.shp;11;SK;Sikkim
4;0.000862831255499;0.128040260366;missing_name_SIKKIM.shp;;;;RHENOK FOREST;;;SIKKIM;178284;missing_name_SIKKIM.shp;11;SK;Sikkim
